,0,1,2,3
0,-7.1805820339619455,-7.196467959448155,-7.1936100899183835,-7.207386605383299
13,-7.163624086993187,-7.147877877444147,-7.1486555751513325,-7.194780860536452
1,-7.05579841,-7.061899742506901,-7.119574763427551,-7.087160536889418
2,-6.805567,-6.803179166773001,-6.798551,-6.8884968175750885
25,-7.369666,-6.861894039100013,-106.6157235573944,-7.453206971158014
26,-7.1302986059101725,-6.513215599000011,-106.55379787215512,-7.175278203383902
14,-6.884194,-6.847845040608695,-6.84708927781809,-6.921482000000001
3,-6.54076081,-6.511576967371576,-6.531294054810699,-6.54182
15,-6.558465610000002,-6.506608128613494,-6.506506099444642,-6.602639
27,-6.842952072662762,-6.125795110000007,-106.154241121743,-6.861386848166638
4,-6.20692588,-6.183702070613352,-6.218642,-6.19013
5,-5.8855330000000015,-5.830152963154931,-5.8522059648910005,-5.834978
16,-6.17882,-6.122761449156192,-6.122869764322774,-6.2324519999999985
17,-5.806634499099999,-5.693460373225738,-5.6937617965171,-6.108158325332277
28,-6.503114409134742,-5.695327900000004,-106.30082175112712,-6.510225477318819
29,-6.11079588834387,-5.217031,-106.5926988850762,-6.125319411879488
6,-5.424056,-5.425390529227001,-5.4314480000000005,-5.603998953213639
18,-5.342613,-5.216202959218563,-5.2161695341389995,-5.417767
19,-5.003017,-4.685181025821034,-4.685193970166799,-5.042271
31,-5.204860356560226,-4.0951,-106.38493509427236,-5.209670010709002
30,-5.689556111093138,-4.68559,-106.33573037964123,-5.6945552379301
32,-4.673191050652417,-3.439,-106.53167005570322,-4.678376191752772
7,-5.027173,-4.992272638939001,-5.0043779520310006,-5.076058
8,-4.564319299299999,-4.50561947608,-4.50591031,-4.577007
20,-4.413116799999999,-4.094887288961549,-4.094899115302001,-4.68233128
21,-3.925651,-3.4389371853637822,-3.43893672132013,-3.71034
22,-3.088009,-2.7099891522263078,-2.70998923831975,-3.069975
23,-2.490572872,-2.1776905,-1.9,-2.405589
33,-4.089773928743298,-2.71,-106.60807673047138,-4.0931159536
9,-4.0488515911,-3.9713808357100002,-3.969837,-4.040069
10,-3.367397,-3.3666453568000003,-3.36309535,-3.4769058457510003
34,-3.4331510256149547,-1.9,-106.4866373397649,-3.4281454816
11,-2.7429900000000003,-2.796509,-2.6976157480000005,-2.834727
35,-2.7087822784,-1.8986134419999998,-1.0,-2.7094480453773997
47,0.0,0.0,0.0,0.0
36,-7.458134170320633,-91.7364526810098,-7.595590397033896,-7.60451292302153
24,-7.2326036437057315,-7.175704635140928,-7.2847156266684925,-7.322219725281527
12,-7.165118091308532,-7.150304053610326,-7.173546567386218,-7.149142214369142
